This table is found at TSOProtocolsD_base+0x5b9b8 in TSO Pre-Alpha.

0x00000000: key.mResourceType
0x00000001: key.mInstance
0x00000002: kTipInfoFlagNoTimeOut
0x00000003: kSint16
0x00000004: kFlagsOpaqueBackground
0x00000005: kSint32
0x00000006: kstring
0x00000007: kiunknown
0x00000008: kFlagsDrawOutline
0x00000009: kTop100Entry
0x0000000A: kTop100Entry_Rank
0x0000000B: kTop100Entry_TargetID
0x0000000C: kTop100Entry_TargetName
0x0000000D: kTop100Entry_Argument
0x0000000E: kTop100Entry_DisplayString
0x0000000F: kLocation
0x00000010: kFlagsRowHeadings
0x00000011: kLocation_Y
0x00000012: kAvatar
0x00000013: kAvatar_IsOnline
0x00000014: kLot
0x00000015: kLot_Location
0x00000016: kLot_DatabaseID
0x00000017: kNumValues
0x00000018: kLot_NumOccupants
0x00000019: kLot_OwnerVec
0x0000001F: kIndexMask
0x0000001A: kLot_Thumbnail
0x0000001B: kLot_BuildableArea
0x0000001C: kTop100List
0x0000001D: kTop100List_Name
0x0000001E: kTop100List_Type
0x0000001F: kTop100List_Thumbnail
0x00000020: kFlagsColumnGrid
0x00000021: kCity
0x00000022: kCity_Top100ListIDs
0x00000023: kCurrentCity
0x00000024: kCurrentTop100List
0x00000025: kTop100List_Summary
0x00000026: kTop100List_Avatar
0x00000027: kTop100List_Lot
0x00000040: kFlagsRowGrid
0x00000080: kFlagsInsertionMode
0x000000C0: kTSOAssetFilterHouseFrame
0x000000C1: kTSOAssetFilterHouseFrameHilited
0x000000C2: kTSOAssetFilterOfflineHouseFrame
0x000000C3: kTSOAssetFilterOfflineHouseFrameHilited
0x000000C4: kTSOAssetFilterYourHouseFrame
0x000000C5: kTSOAssetFilterYourHouseFrameHilited
0x000000D8: kTSOAssetPanelBackground
0x000000FF: kMask_WinProcLogicColumn
0x00000100: kPropertyBaseGZWinCommon
0x000001AA: kTSOAssetBookmarkBellIcon
0x000001AF: kTSOAssetBalloonPointerSadBottom
0x000001B0: kTSOAssetBalloonPointerSadSide
0x000001B1: kTSOAssetBalloonTilesSad
0x000001B2: kTSOAssetQueueResultSelection
0x000001B3: kTSOAssetActionHappy
0x000001B4: kTSOAssetActionMad
0x000001B5: kTSOAssetActionNeutral
0x000001B6: kTSOAssetActionSad
0x000001CE: kTSOAssetCatalogPopupBackTiles
0x000001D0: kTSOAssetSocialPopupIcon
0x000001D1: kTSOAssetBldSbtlHand1
0x000001D2: kTSOAssetBldSbTlPool
0x000001D5: kTSOAssetBldPopupRoofPattern
0x000001DB: kTSOAssetBldSbTlRoofFlat
0x000001DC: kTSOAssetBldSbTlRoofMedium
0x000001DD: kTSOAssetRoofPatternTemplate
0x000001DE: kTSOAssetBldSbTlRoofShallow
0x000001DF: kTSOAssetBldSbTlRoofSteep
0x000001E0: kTSOAssetBldSbTlTerrainDown
0x000001E1: kTSOAssetBldSbTlTerrainLevel
0x000001E2: kTSOAssetBldSbTlTerrainUp
0x000001E3: kTSOAssetBldSbTlPond
0x000001F6: kTSOAssetIconFrame
0x000001F7: kTSOAssetIconTemp
0x000001FD: kTSOAssetCityIcon
0x00000200: kPropertyBaseGZWinFlatRect
0x00000201: kCC_BadParams
0x00000203: kTSOAssetOptCheckbox
0x0000021F: kTSOAssetCatalogPrevPage
0x00000221: kTSOAssetCatalogNextPage
0x00000234: kTSOAssetPeopleBtnUnknown
0x00000247: kTSOAssetCatalogTemplate
0x00000248: kTSOAssetCatalogTemplate1Frame
0x00000249: kTSOAssetItemUnknown
0x0000024B: kTSOAssetExploreAnchor
0x0000024F: kTSOAssetPeopleTemplate
0x00000250: kTSOAssetPersonButonTemplate_PlayerLarge
0x00000251: kTSOAssetPersonButonTemplate_PlayerSmall
0x00000252: kTSOAssetPersonButonTemplate_RoommateLarge
0x00000253: kTSOAssetPersonButonTemplate_RoommateSmall
0x00000254: kTSOAssetPersonButonTemplate_VisitorLarge
0x00000255: kTSOAssetPersonButonTemplate_VisitorSmall
0x00000256: kTSOAssetPeopleThumbnailBackground
0x00000258: kTSOAssetUnknownRel
0x00000259: kTSOAssetUnknownThumbnail
0x0000025A: kTSOAssetWebPeopleTemplate
0x0000025C: kTSOAssetPieFaceBkg
0x00000274: kTSOAssetWebcamLogo
0x00000275: kTSOAssetWebcamLogoAlpha
0x0000027C: kTSOAssetPictureDialogStub
0x0000027E: kTSOAssetTutorialHighlightBMP
0x00000300: kPropertyBaseGZWinText
0x0000032C: kTSOAssetCloseZoomOnlineThumb
0x0000032D: kTSOAssetCloseZoomLockedThumb
0x0000032E: kTSOAssetCloseZoomYourHouseThumb
0x0000032F: kTSOAssetFarZoomOnlineThumb
0x00000330: kTSOAssetFarZoomLockedThumb
0x00000331: kTSOAssetFarZoomReservedThumb
0x00000332: kTSOAssetFarZoomYourHouseThumb
0x00000333: kTSOAssetFarZoomYourHousePointer
0x0000039F: kTSOAssetMaxisLogo
0x000003A1: kTSOAssetQueueCancelOverlay
0x000003A2: kTSOAssetQueueCancelDeleteOverlay
0x000003A3: kTSOAssetSimsLogo
0x000003A9: kTSOAssetSpeechLargeBmp
0x000003AA: kTSOAssetMakeSpeakingIcon
0x000003D8: kTSOAssetSASCASCityProxyThumbnail
0x000003D9: kTSOAssetSASCASHouseProxyThumbnail
0x000003DA: kTSOAssetSASCASCityButtonTemplate
0x000003DB: kTSOAssetSASCASHouseButtonTemplate
0x000003E0: kBltAllZOptions
0x00000400: kPropertyBaseGZWinTextEdit
0x00000402: kTSOAssetCloseZoomTrees
0x00000404: kTSOAssetSMSystemGenDlgEdge
0x00000407: kTSOAssetSMSystemDlgCloseBox
0x00000408: kTSOAssetSMSystemComboDown
0x0000040A: kTSOAssetSMSystemListLineItemBackground
0x0000040D: kTSOAssetSMSystemDlgMinimizeBox
0x0000040E: kTSOAssetSMSystemPieBackground
0x0000040F: kTSOAssetSMSystemPieButton
0x00000412: kTSOAssetSMSystemBtn
0x00000413: kTSOAssetSMSystemCheck
0x00000417: kTSOAssetSMSystemScrollbar
0x00000418: kTSOAssetSMSystemSliderH
0x00000419: kTSOAssetSMSystemSliderV
0x0000042D: kTSOAssetBldPopupRoofPitch
0x0000042E: kTSOAssetBldPopupTerrainDown
0x0000042F: kTSOAssetBldPopupHand
0x00000430: kTSOAssetBldPopupTerrainLevel
0x00000431: kTSOAssetBldPopupPool
0x00000432: kTSOAssetBldPopupTerrainUp
0x000004CC: kTSOAssetCloseZoomDefaultHouse
0x000004CD: kTSOAssetBldPopupPond
0x000004DC: kTSOAssetFarZoomStarStrip
0x00000500: kPropertyBaseGZWinListBox
0x00000592: kGZCLSID_cGZWinText
0x00000800: kPropertyBaseGZWinCombo
0x00000A00: kPropertyBaseGZWinBtn
0x00000B00: kPropertyBaseGZWinBMP
0x00000C00: kPropertyBaseGZWinSlider
0x00000D00: kPropertyBaseGZWinScrollbar
0x00000E00: kPropertyBaseGZWinLineInput
0x00000F00: kPropertyBaseGZWinOptGrp
0x00001000: kPropertyBaseGZWinSpinner
0x00001100: kPropertyBaseGZWinOutline
0x00001200: kPropertyBaseGZWinTextTicker
0x00001300: kPropertyBaseGZWinFileBrowser
0x00001400: kPropertyBaseGZWinTreeView
0x00001500: kPropertyBaseGZWinFolders
0x00001600: kPropertyBaseGZWinGrid
0x00002000: kWinSpinnerAutoNumberComma
0x00002001: kCTRLID_GUID
0x00002002: kCTRLID_Name
0x00002003: kCTRLID_labelGUID
0x00002004: kCTRLID_labelName
0x00003000: kCTRLID_RegCheckBoxMin
0x00004000: kWinSpinnerAutoNumberCurrency
0x00005000: kCTRLID_RegComboMin
0x00005001: kCTRLID_SegmentViewListBoxSegmentList
0x00008000: kOpaqueFlag
0x00008810: kGZIID_cIGZWinBtn
0x0000FFFF: kTypeMASK
0x0000F000: kPropertyBaseShared
0x0000FF00: kMask_WinProcLogicRow
0x00010000: kPropertyBaseSC3WinGen
0x00010001: kCTRLID_Cancel
0x00010002: kCTRLID_Apply
0x00010003: kCTRLID_New
0x00010004: kCTRLID_Undo
0x00010005: kCTRLID_Play
0x00010006: kCTRLID_Stop
0x00010007: kCTRLID_Edit
0x00010008: kCTRLID_Compile
0x00010009: kCTRLID_Debug
0x0001000A: kCTRLID_Config
0x0001000B: kCTRLID_Save
0x0001000C: kCTRLID_Samples
0x0001000D: kCTRLID_Delete
0x0001000E: kCTRLID_NewTrackData
0x0001000F: kCTRLID_Refresh
0x00010010: kCTRLID_Submit
0x00010011: kCTRLID_ViewSeg
0x00010012: kCTRLID_Sync
0x00010013: kCTRLID_Replace
0x00010014: kCTRLID_Add
0x00010015: kCTRLID_Explore
0x00010016: kCTRLID_SaveAs
0x00010017: kCTRLID_Panic
0x00010018: kCTRLID_Revert
0x00010019: kCTRLID_FilterTrk
0x0001001A: kCTRLID_FilterHls
0x0001001B: kCTRLID_FilterTlo
0x0001001C: kCTRLID_FilterXA
0x0001001D: kCTRLID_FilterWAV
0x0001001E: kCTRLID_FilterStr
0x00019BFF: kFlagsDefault
0x00020000: kTipInfoFlagPlaceLeftTop
0x00020001: kCTRLID_DebugStop
0x00020002: kCTRLID_DebugPlay
0x00020003: kCTRLID_DebugPause
0x00020004: kCTRLID_DebugStep
0x00020011: kCTRLID_DebugWatchRegId1
0x00020012: kCTRLID_DebugWatchRegId2
0x00020013: kCTRLID_DebugWatchRegId3
0x00020014: kCTRLID_DebugWatchRegId4
0x00020015: kCTRLID_DebugWatchRegId5
0x00020016: kCTRLID_DebugWatchRegId6
0x00020017: kCTRLID_DebugWatchRegId7
0x00020018: kCTRLID_DebugWatchRegId8
0x00020021: kCTRLID_DebugWatchRegVal1
0x00020022: kCTRLID_DebugWatchRegVal2
0x00020023: kCTRLID_DebugWatchRegVal3
0x00020024: kCTRLID_DebugWatchRegVal4
0x00020025: kCTRLID_DebugWatchRegVal5
0x00020026: kCTRLID_DebugWatchRegVal6
0x00020027: kCTRLID_DebugWatchRegVal7
0x00020028: kCTRLID_DebugWatchRegVal8
0x00020200: kCTRLID_DebugWatchRegValMin
0x00020300: kCTRLID_DebugWatchRegFilterMin
0x00030000: kQuestion
0x00040000: kTipInfoFlagPlaceLeftCentered
0x00080000: kTipInfoFlagPlaceLeftBottom
0x000F0000: kIconMASK
0x000FFFFF: kFloat64MantissaMask
0x00100000: kTipInfoFlagPlaceRightTop
0x00199925: GZCLSID_cGZPersistDBSegmentMIFF
0x001D4C01: kTSOAssetScrapBack
0x00200000: kTipInfoFlagPlaceRightCentered
0x00209401: kTSOAssetFarZoomOnlineThumb
0x00209801: kTSOAssetFarZoomReservedThumb
0x00209C01: kTSOAssetFarZoomYourHouseThumb
0x0020A001: kTSOAssetCloseZoomOnlineThumb
0x0020A401: kTSOAssetCloseZoomLockedThumb
0x0020A801: kTSOAssetCloseZoomYourHouseThumb
0x0020AC01: kTSOAssetFarZoomLockedThumb
0x00400000: kTipInfoFlagPlaceRightBottom
0x00436EB4: GZCLSID_cGZPersistStringResourceFactory
0x0054B7D5: GZIID_cIGZLanguageManager
0x00637701: GZCLSID_cTSOGraphicSystemNative
0x00673557: GZIID_cITSOFont
0x00673700: GZIID_cITSOGraphicSystem
0x00673958: GZCLSID_cTSOFontSys
0x00673959: GZIID_cITSOFontSys
0x006856F7: kGZIID_cIGZGameCommand
0x0073283C: kGZIID_cIGZGraphicSystem
0x007FFFFF: kFloat32MantissaMask
0x00800000: kTipInfoFlagPlaceAboveLeft
0x00B704CE: kCRC24Seed
0x01000000: kTipInfoFlagPlaceAboveCentered
0x01000001: kUseRightClick
0x0150CD95: kGZCLSID_cGZWinTree
0x0158A1DC: kGZIID_cIGZGraphVertexIterator
